id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,imdb_popularity,YearGroup
tm84618,Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",['US'],0,tt0075314,8.3,795222,27.612,1970
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],0,tt0071853,8.2,530877,18.216,1970
tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],0,tt0079470,8,392419,17.505,1970
tm190788,The Exorcist,MOVIE,1973,R,133,['horror'],['US'],0,tt0070047,8.1,391942,95.337,1970
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4,tt0063929,8.8,72895,12.919,1960
tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],0,tt0066999,7.7,153463,14.745,1970
tm185072,My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],0,tt0058385,7.8,94121,15.949,1960
tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",['US'],0,tt0080453,5.8,69053,44.038,1980
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],0,tt0061418,7.7,111189,15.309,1960
tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],0,tt0060862,7.3,16168,12.155,1960
tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],0,tt0079833,7.6,30277,14.008,1970
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],0,tt0079807,8.1,5141,4.681,1970
tm96649,The Long Riders,MOVIE,1980,R,99,"['western', 'crime']",['US'],0,tt0081071,6.9,11329,8.808,1980
tm89386,Hitler: A Career,MOVIE,1977,PG,150,"['documentation', 'history', 'european']",['DE'],0,tt0191182,7.5,2416,9.305,1970
tm156453,FTA,MOVIE,1972,R,97,"['comedy', 'documentation', 'music']",['US'],0,tt0068562,6.2,411,2.466,1970
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],1,tt0202477,8.1,2144,1.49,1970
tm119776,Top Gun,MOVIE,1986,PG,110,"['drama', 'action']",['US'],0,tt0092099,6.9,329656,112.137,1980
ts20681,Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],9,tt0098904,8.9,302700,128.743,1980
tm111075,Stand by Me,MOVIE,1986,R,89,['drama'],['US'],0,tt0092005,8.1,392790,16.096,1980
tm180542,Once Upon a Time in America,MOVIE,1984,R,229,"['drama', 'crime', 'european']","['US', 'IT']",0,tt0087843,8.3,342335,21.322,1980
tm138875,When Harry Met Sally...,MOVIE,1989,R,96,"['romance', 'comedy', 'drama']",['US'],0,tt0098635,7.7,212913,16.005,1980
tm155792,Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",0,tt0100758,6.7,92647,22.75,1990
tm22327,Full Metal Jacket,MOVIE,1987,R,116,"['drama', 'war']","['GB', 'US']",0,tt0093058,8.3,723306,36.502,1980
tm54450,Christine,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",['US'],0,tt0085333,6.7,80945,19.311,1980
tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],['US'],0,tt0087800,7.4,230543,53.853,1980
ts22082,Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],4,tt0083437,6.9,33760,44.378,1980
tm145608,Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],0,tt0099077,7.8,137549,13.761,1990
ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24,tt0086815,6.5,4948,49.384,1980
tm41289,Annie,MOVIE,1982,PG,127,"['drama', 'family', 'comedy']",['US'],0,tt0083564,6.6,44866,15.857,1980
tm132694,Pet Sematary,MOVIE,1989,R,103,"['horror', 'fantasy', 'thriller']",['US'],0,tt0098084,6.5,102212,32.854,1980
ts20678,Saved by the Bell,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",['US'],5,tt0096694,7.1,34854,16.945,1980
tm117580,She's Gotta Have It,MOVIE,1986,R,84,"['comedy', 'romance']",['US'],0,tt0091939,6.7,14277,6.212,1980
tm20712,Eddie Murphy Raw,MOVIE,1987,R,93,"['comedy', 'documentation']",['US'],0,tt0092948,7.6,19646,9.727,1980
tm130586,Endless Love,MOVIE,1981,R,116,"['drama', 'romance']",['US'],0,tt0082329,4.9,8374,19.518,1980
ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],39,tt0072584,6.7,3126,1440.855,1980
ts23753,Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],4,tt0096643,6.4,2866,7.506,1980
ts2760,Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13,tt0329829,6.1,1759,25.697,1980
ts987,Danger Mouse,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10,tt0081848,7.4,3514,7.748,1980
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],0,tt0307403,7.2,651,1.791,1980
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,77,"['comedy', 'documentation']",['GB'],0,tt0084352,7.9,15186,7.641,1980
ts63001,High Risk,SHOW,1988,TV-PG,50,['comedy'],['US'],1,tt0094478,3.8,6,0.6,1980
tm11556,The Quick and the Dead,MOVIE,1995,R,107,"['western', 'thriller', 'action', 'romance']","['US', 'JP']",0,tt0114214,6.5,92224,17.543,1990
ts20981,Survivor,SHOW,2000,TV-PG,48,['reality'],['US'],42,tt0239195,7.4,24368,73.107,2000
ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']","['US', 'CA']",10,tt0118480,8.4,90196,167.57,1990
ts21223,Pokémon,SHOW,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],24,tt0168366,7.6,172,138.135,1990
tm122434,Forrest Gump,MOVIE,1994,PG-13,142,"['drama', 'romance', 'comedy']",['US'],0,tt0109830,8.8,1994599,57.114,1990
tm106462,Happy Gilmore,MOVIE,1996,PG-13,92,"['comedy', 'sport']",['US'],0,tt0116483,7,217534,16.583,1990
ts20339,One Piece,SHOW,1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],21,tt0388629,8.8,112586,105.955,1990
tm57554,Saving Private Ryan,MOVIE,1998,R,169,"['drama', 'war']",['US'],0,tt0120815,8.6,1346020,54.874,1990
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1,tt0213338,8.9,112887,34.769,1990
ts20927,Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,"['scifi', 'action', 'drama']",['US'],7,tt0106145,8.1,61145,61.159,1990
ts5145,The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37,tt0176095,7.8,3274,15.699,1990
tm192405,Gattaca,MOVIE,1997,PG-13,106,"['thriller', 'drama', 'scifi']",['US'],0,tt0119177,7.8,298168,18.355,1990
ts21567,Gilmore Girls,SHOW,2000,TV-14,46,"['comedy', 'drama']",['US'],8,tt0238784,8.2,119054,51.125,2000
tm55553,Blade,MOVIE,1998,R,120,"['action', 'scifi', 'horror']",['US'],0,tt0120611,7.1,267181,47.411,1990
tm56574,You've Got Mail,MOVIE,1998,PG,119,"['romance', 'drama', 'comedy']",['US'],0,tt0128853,6.7,209258,15.015,1990
tm192037,Starship Troopers,MOVIE,1997,R,129,"['scifi', 'thriller', 'action']",['US'],0,tt0120201,7.3,288960,22.126,1990
